,Brand,Capacity,Network Support,Operating System,Screen Size
0,47,4000,3,18,6.26
1,38,4230,3,18,6.2
2,38,3500,3,18,6.3
3,40,3300,3,17,6.0
4,11,3750,3,18,6.5
6,46,3400,3,18,6.41
7,47,3000,3,18,5.45
8,47,4000,3,18,5.84
9,33,4230,3,18,6.2
10,48,4000,3,18,6.18
11,34,3700,3,19,6.41
12,47,3010,3,18,5.99
13,11,3000,3,17,5.84
14,46,3260,3,18,6.3
15,46,4030,3,18,6.22
16,31,3060,3,18,5.8
17,31,3500,3,19,6.18
18,46,4030,3,18,6.22
19,11,3750,3,18,6.3
20,2,4000,3,18,6.26
21,33,4230,3,18,6.2
22,47,4000,3,18,6.26
23,46,3260,3,18,6.22
24,31,3060,3,18,5.86
25,40,3300,3,18,6.0
26,47,3080,3,18,5.99
27,40,3800,3,17,6.3
28,46,4000,3,18,6.59
29,2,5000,3,18,6.26
30,12,4200,3,19,6.39
31,11,4000,3,18,6.26
32,11,3000,3,17,5.7
33,2,5000,3,18,5.99
34,2,3000,3,17,5.45
35,47,3080,3,18,5.99
36,46,3260,3,18,6.3
37,40,3300,3,18,6.0
38,33,3400,3,18,6.23
39,12,3340,3,18,6.3
40,23,4000,3,15,5.5
41,38,3500,3,18,6.3
42,40,3500,3,17,6.2
43,11,3000,3,17,5.65
44,1,2716,3,28,5.8
45,47,3000,3,16,5.0
46,2,4000,3,17,5.45
47,39,2000,3,22,2.4
48,46,3260,3,18,6.22
49,11,3000,3,17,5.99
50,40,3000,3,17,5.6
51,46,3225,3,14,5.99
52,47,3010,3,18,5.99
53,23,4000,3,18,5.45
54,34,3300,3,18,6.28
55,21,3000,3,18,5.45
56,33,3730,3,18,6.4
57,46,3360,3,18,6.0
58,31,1500,3,22,2.45
59,33,3500,3,18,6.4
60,46,3260,3,18,6.22
61,47,3300,3,16,5.7
62,47,3000,3,18,5.45
63,1,2900,3,26,5.5
64,31,4000,3,18,5.5
65,38,3410,3,18,6.0
66,31,3060,3,18,5.84
67,12,3000,3,17,5.84
68,47,4000,3,16,5.99
69,33,3200,3,14,6.0
70,31,3000,3,18,5.5
71,40,3000,3,17,5.6
72,40,3500,3,15,6.0
73,23,4000,3,15,5.2
74,46,3360,3,18,6.0
75,27,2000,3,24,2.4
76,40,3000,3,17,5.6
77,1,3174,3,29,6.5
78,29,3000,3,17,5.7
79,31,3800,3,17,6.0
80,1,2942,3,29,6.1
81,40,3300,3,12,5.5
82,1,1642,3,26,4.0
83,48,4000,3,18,6.18
84,8,4000,3,13,5.3
85,29,5000,3,17,6.0
86,47,4100,3,12,5.5
87,1,1715,3,31,4.7
88,46,3260,3,18,6.22
89,40,3000,3,13,5.8
90,11,3340,3,13,5.9
91,1,1960,3,26,4.7
92,31,3090,3,15,5.3
93,31,2150,3,18,4.5
94,40,3600,3,11,5.5
95,33,3500,3,18,6.3
96,47,5300,3,15,6.4
97,8,4550,3,13,6.0
98,40,800,0,24,2.0
99,49,4000,3,17,5.45
100,15,3050,3,18,5.45
101,12,4000,3,18,6.1
102,1,1810,3,26,4.7
103,40,3300,3,13,5.7
104,40,5000,3,9,6.0
105,2,4000,3,18,6.26
106,0,3200,3,18,5.45
107,46,3000,3,14,5.7
108,33,3180,3,14,5.7
109,46,3000,3,11,5.5
110,1,2675,3,27,5.5
111,9,3430,3,19,6.3
112,11,3750,3,18,6.3
113,4,4000,3,18,5.99
114,23,4000,3,15,5.5
115,31,1020,0,24,2.4
116,29,3200,3,17,5.93
117,11,3750,3,18,6.5
118,46,3200,3,18,6.28
119,35,3200,3,11,5.5
120,47,3080,3,16,5.5
121,47,3400,3,14,5.99
122,12,3750,3,18,6.3
123,29,3000,3,17,5.7
124,1,1821,3,27,4.7
125,1,2750,3,31,5.5
126,27,5000,3,14,5.2
127,27,3000,3,13,5.0
128,31,1200,0,24,2.4
129,35,3010,3,14,5.2
130,47,3000,3,16,5.0
131,40,2600,3,7,5.1
132,31,2990,3,18,5.2
133,31,1020,0,24,2.4
134,33,3180,3,14,5.7
135,11,3000,3,17,5.65
136,26,3000,3,17,5.45
137,40,4000,3,11,6.0
138,40,1200,0,24,2.8
139,14,4000,3,13,5.7
140,35,2900,3,11,5.2
141,29,5000,3,15,5.5
142,20,3300,3,18,6.2
143,31,4100,3,15,5.0
144,29,3000,3,17,5.2
145,35,2630,3,8,5.0
146,40,3800,3,17,6.3
147,34,3700,3,19,6.41
148,31,800,0,24,1.8
149,8,4010,3,13,5.5
150,33,3200,3,14,6.0
151,41,2300,3,13,5.0
152,43,3750,3,18,6.2
153,20,3000,3,17,6.1
154,31,3000,3,15,5.5
155,41,2620,3,14,5.2
156,33,4000,3,11,6.0
157,9,2915,3,19,5.5
158,17,2400,3,13,5.45
159,11,4000,3,18,6.26
160,40,800,0,24,1.5
161,47,4050,3,8,5.5
162,41,2620,3,14,5.2
163,40,3000,3,11,5.5
164,33,3000,3,14,5.2
165,11,3750,3,17,5.99
166,40,3050,3,8,5.7
167,49,4000,3,17,5.45
168,40,3000,3,11,5.1
169,44,13000,2,18,6.0
170,27,2900,3,16,5.7
171,1,2900,3,26,5.5
172,28,3000,3,18,5.34
173,10,3000,3,13,5.7
174,46,3055,3,11,5.5
175,31,1200,0,24,2.8
176,43,4000,3,13,5.5
177,23,4000,3,12,5.0
178,21,3000,3,18,5.45
179,43,3750,3,18,6.2
180,40,2600,3,11,5.0
181,23,3500,3,11,5.5
182,46,2350,3,8,5.0
183,19,1400,3,13,4.0
184,40,3300,3,8,5.5
185,20,3300,3,18,6.2
186,6,4000,3,14,5.5
187,40,1200,0,24,2.4
188,46,1700,1,2,4.0
189,31,1020,0,24,1.8
190,29,3000,3,11,5.5
191,28,3020,3,16,5.0
192,46,3000,3,11,5.5
193,20,3300,3,16,6.0
194,20,3000,3,15,5.5
195,21,3000,3,13,5.7
196,40,800,0,24,1.5
197,40,2400,3,11,5.0
198,27,5000,3,15,5.2
199,1,3174,3,29,6.5
200,32,3800,3,18,6.0
201,10,3200,3,13,5.5
202,10,2965,3,17,6.0
203,21,2000,3,18,4.5
204,40,1000,0,24,2.0
205,46,3260,3,18,6.3
206,40,2000,3,9,4.7
207,27,4000,3,13,5.7
208,23,3300,3,8,5.5
209,29,3000,3,15,5.5
210,40,2900,3,8,5.2
211,41,2700,3,13,6.0
212,20,3000,3,15,5.5
213,40,3300,3,15,5.5
214,4,3450,2,21,4.5
215,2,5000,3,5,5.5
216,27,1600,3,11,4.0
217,40,3100,3,11,5.2
218,31,3000,3,15,5.2
219,23,4000,3,18,5.45
220,1,1810,3,30,4.7
221,29,2730,3,17,5.5
222,0,3200,3,18,5.45
223,40,2600,3,8,5.0
224,1,1715,3,31,4.7
225,14,4000,3,13,5.7
226,43,3750,3,18,6.0
227,13,8000,0,24,2.4
228,47,4000,3,16,5.99
229,15,4000,3,18,6.2
230,1,2716,3,28,5.8
231,1,2942,3,29,6.1
232,40,3300,3,11,5.5
233,40,2600,3,11,5.0
234,46,3000,3,11,5.5
235,27,3000,3,8,5.5
236,41,3300,3,14,5.5
237,11,3000,3,11,5.2
238,17,2400,3,13,5.0
239,36,4000,3,13,5.0
240,33,3400,3,18,6.23
241,14,3000,3,13,5.2
242,17,2400,3,13,5.45
243,20,2800,3,12,5.3
244,30,2470,3,9,5.0
245,8,3520,3,8,6.0
246,8,4000,3,8,5.0
247,29,3000,3,14,5.2
248,41,3180,3,17,5.7
249,40,2600,3,11,5.0
250,31,3000,3,17,5.5
251,47,4100,3,12,5.5
252,37,4000,3,15,5.7
253,36,2500,3,13,5.0
254,35,2850,3,9,5.5
255,23,4000,3,11,5.5
256,6,4070,3,14,5.5
257,33,3180,3,14,5.7
258,20,3000,3,17,5.5
259,1,1960,3,26,4.7
260,18,2300,3,13,4.0
261,40,3000,3,17,5.5
262,29,4000,3,17,5.7
263,17,2700,3,13,5.0
264,27,2000,3,17,4.5
265,4,3000,3,18,4.5
266,41,2300,3,11,5.0
267,16,2800,3,13,5.2
268,43,3050,3,13,5.65
269,1,3174,3,29,6.5
270,47,3080,3,16,5.5
271,21,2800,0,24,2.8
272,36,2500,3,14,5.45
273,15,4000,3,18,5.93
274,46,2550,3,8,5.0
275,10,2730,3,13,5.5
276,46,2730,3,11,5.2
277,2,3000,3,5,5.5
278,27,2500,3,13,5.0
279,20,3200,3,13,5.7
280,40,3600,3,11,5.7
281,41,2700,3,11,6.0
282,48,4000,3,18,6.18
283,9,2700,3,11,5.2
284,50,3000,3,13,5.2
285,29,3050,3,12,5.5
286,12,3000,3,11,5.2
287,43,3050,3,17,5.5
288,16,2800,3,18,5.45
289,23,3500,3,11,5.5
290,11,4000,3,8,5.0
291,31,800,0,24,1.4
292,40,2050,3,25,4.5
293,9,2770,3,15,5.0
294,49,4000,3,8,5.5
295,21,1750,0,24,2.8
296,46,2000,3,8,4.5
297,27,2900,3,8,5.2
298,46,4030,3,18,6.22
299,11,3000,3,8,5.5
300,40,3200,1,1,5.7
301,8,3100,3,14,5.2
302,4,1800,1,20,4.2
303,36,3000,3,11,5.5
304,21,3020,3,11,5.5
305,31,1100,0,23,2.4
306,40,3000,3,13,5.5
307,24,1300,3,11,4.5
308,27,1300,3,11,4.0
309,29,3000,3,11,5.5
310,27,2000,3,7,4.8
311,16,4000,3,13,5.0
